respondent_id,Q1_age_group,Q2_city_tier,Q3_residence_type,Q4_num_dogs,Q5_dog_type,Q6_ownership_duration,Q7_monthly_spend_inr,Q7_spend_range,Q8_top_spend_category,Q9_online_purchase_freq,Q10_challenges,Q11_vet_discovery,Q12_lost_dog_experience,Q13_pet_space_satisfaction,Q14_preferred_features,Q15_app_usage,Q16_purchase_platform,Q17_location_sharing,Q18_subscription_pref,Q19_adoption_interest,Q20_community_importance,Q21_social_media_dogs,Q22_reviews_importance,Q23_vax_tracking,Q24_emergency_vet_freq,Q25_app_adoption
R1235,35-44,Metro,Gated apartment,1 dog,Adopted from shelter|Indian Pariah,5+ years,6506.0,5000-10000,Grooming,Never,Lack of grooming services|Hard to find reliable vet,Pet app,"Yes, very difficult",Neutral,Online marketplace|Dog trainer directory|Lost-and-found alerts,Sometimes,Heads Up For Tails/Supertails,Yes always,Freemium,Yes considering,Very Important,Passive,Extremely Important,Don't track,2-3 times a year,Yes
R1236,25-34,Metro,Independent house,1 dog,Mixed breed,3-5 years,4586.0,2500-5000,Accessories,Occasionally,Hard to find reliable vet|Difficulty adopting/fostering,Word of mouth,Not applicable,Very Satisfied,Event calendar|Nearby vet directory,Sometimes,Heads Up For Tails/Supertails,No,Monthly sub,Yes actively,Not Important,Passive,Very Important,Spreadsheet/notes app,Once a year or less,Maybe
R1237,45-59,Metro,Non-gated apartment,1 dog,Purebred,,4768.0,2500-5000,Food & treats,Occasionally,Lack of grooming services|Genuine food/accessories hard to find,Google Maps,Not applicable,Dissatisfied,Adoption/fostering network,Rarely,Amazon/Flipkart,Yes when using app,Annual sub,No,Somewhat Important,Passive,,Rely on memory,2-3 times a year,Yes
R1238,25-34,Rural,Non-gated apartment,2 dogs,Purebred|Rescued stray,3-5 years,4228.0,2500-5000,Food & treats,Rarely,Difficulty adopting/fostering|Genuine food/accessories hard to find|Losing track of vaccinations,Word of mouth,No,Dissatisfied,Nearby vet directory|Adoption/fostering network,Sometimes,Amazon/Flipkart,Yes always,Monthly sub,No,Very Important,Active,Very Important,Rely on memory,Once a year or less,Maybe
R1239,60+,Tier-2,Independent house,1 dog,Adopted from shelter|Indian Pariah,1-3 years,36530.0,>10000,Grooming,Rarely,Genuine food/accessories hard to find,Word of mouth,Not applicable,Very Dissatisfied,Lost-and-found alerts|Health/vaccination tracker,Often,Amazon/Flipkart,Unsure,Free with ads,No,Neutral,Not yet but would,Very Important,Dedicated pet app,2-3 times a year,Yes
R1240,18-24,tier-2,,1 dog,Rescued stray,5+ years,,nan,,Occasionally,No pet-friendly spaces|Hard to find boarding/walker|Difficulty adopting/fostering,Pet app,"Yes, very difficult",,Boarding/walking listings,,Local pet store,Yes always,Free with ads,No,Neutral,Not yet but would,Very Important,Physical diary,Never,Yes
R1241,45-59,Metro,Other,2 dogs,Mixed breed,3-5 years,6560.0,5000-10000,Vet & medicines,Rarely,Hard to find reliable vet,,Not applicable,Neutral,Nearby vet directory,Never,Amazon/Flipkart,Yes always,Free with ads,No,Somewhat Important,Passive,Very Important,Rely on memory,2-3 times a year,
R1242,35-44,Metro,Gated apartment,3+ dogs,Purebred,5+ years,6662.0,5000-10000,Food & treats,Occasionally,Lack of grooming services|Difficulty adopting/fostering|Cannot find dog trainer,Google Maps,"Yes, managed eventually",Satisfied,Boarding/walking listings|Grooming listings,Never,Amazon/Flipkart,Yes always,Freemium,Yes actively,Neutral,Passive,Very Important,Rely on memory,Never,No
R1243,35-44,Tier-2,Gated apartment,None,nan,Planning to adopt,127.0,<1000,nan,Frequently,Hard to find reliable vet|No local dog owner community,Word of mouth,No,Very Dissatisfied,Boarding/walking listings|Adoption/fostering network,Sometimes,Brand website,Unsure,Free with ads,No,,Not yet but would,Extremely Important,Don't track,Never,No
R1244,45-59,Tier-2,Rented,1 dog,Purebred,1-3 years,5708.0,  5000-10000  ,Grooming,Frequently,Difficulty adopting/fostering|Cannot find dog trainer,No reliable way,No,Neutral,Online marketplace|Pet-friendly places,Sometimes,Amazon/Flipkart,Unsure,Free with ads,Yes considering,Neutral,Active,Extremely Important,Don't track,Once a year or less,Yes
R1245,35-44,Tier-2,Non-gated apartment,1 dog,Adopted from shelter,3-5 years,,nan,Vet & medicines,Occasionally,Travel challenges with dog|Losing track of vaccinations|No local dog owner community|Difficulty ,Google Maps,No,Very Dissatisfied,Health/vaccination tracker|Grooming listings|Lost-and-found alerts,,Local pet store,,Free with ads,Yes actively,Very Important,Not interested,Very Important,Don't track,Never,Maybe
R1246,35-44,Metro,Non-gated apartment,None,Mixed breed,<1 year,325.0,<1000,nan,Occasionally,Hard to find reliable vet|No pet-friendly spaces|Genuine food/accessories hard to find,Google Maps,"Yes, managed eventually",Neutral,Lost-and-found alerts|Nearby vet directory|Community/playdates,Often,Local pet store,Unsure,Monthly sub,Maybe someday,Neutral,Active,Very Important,Don't track,Never,Yes
R1247,18-24,Tier-2,Rented,1 dog,Rescued stray,3-5 years,4904.0,2500-5000,Vet & medicines,Never,Lack of grooming services|No local dog owner community|Hard to find reliable vet,Word of mouth,No,Very Dissatisfied,Boarding/walking listings,Often,Local pet store,Yes always,Annual sub,Maybe someday,Not at all,Active,Extremely Important,Physical diary,Once a year or less,Maybe
R1248,18-24,Metro,Rented,2 dogs,Purebred,1-3 years,,nan,Vet & medicines,Occasionally,Hard to find reliable vet|No local dog owner community|Losing track of vaccinations,Pet app,No,Very Dissatisfied,Event calendar|Nearby vet directory|Online marketplace,Sometimes,Amazon/Flipkart,No,One-time purchase,Maybe someday,Neutral,Not yet but would,Somewhat Important,,Never,Maybe
R1249,60+,Tier-3,Gated apartment,1 dog,Purebred,<1 year,4526.0,2500-5000,,Very frequently,Difficulty adopting/fostering|Hard to find boarding/walker|Travel challenges with dog,Word of mouth,Not applicable,Dissatisfied,Online marketplace|Grooming listings,Never,Brand website,Yes when using app,Monthly sub,Maybe someday,Somewhat Important,Passive,Not Important,Don't track,Never,No
R1250,35-44,Tier-2,Gated apartment,2 dogs,Purebred,3-5 years,2786.0,2500-5000,Food & treats,Rarely,Difficulty adopting/fostering|Hard to find reliable vet,Word of mouth,No,Dissatisfied,Lost-and-found alerts,Rarely,Amazon/Flipkart,Unsure,Freemium,Maybe someday,Neutral,Not yet but would,Very Important,Dedicated pet app,More than 3 times,No
R1251,45-59,tier-2,Gated apartment,2 dogs,Rescued stray|Indian Pariah,1-3 years,5471.0,5000-10000,Vet & medicines,Occasionally,Losing track of vaccinations,Google Maps,No,Dissatisfied,Nearby vet directory,Sometimes,Amazon/Flipkart,No,Freemium,Yes actively,,Active,Very Important,Spreadsheet/notes app,Never,Yes
R1252,25-34,Metro,Other,3+ dogs,Adopted from shelter,1-3 years,5936.0,5000-10000,Food & treats,Frequently,Lack of grooming services|Losing track of vaccinations,Social media,Not applicable,Dissatisfied,Nearby vet directory,Often,Local pet store,No,Monthly sub,Maybe someday,Somewhat Important,Passive,Somewhat Important,Spreadsheet/notes app,Never,Yes
R1253,18-24,Tier-2,Non-gated apartment,1 dog,Mixed breed,5+ years,,nan,Food & treats,Occasionally,Travel challenges with dog|Lack of grooming services,Google Maps,Not applicable,Dissatisfied,Community/playdates,,Brand website,No,Annual sub,Yes actively,Not Important,Passive,Not Important,Spreadsheet/notes app,Once a year or less,Yes
R1254,18-24,Metro,Independent house,3+ dogs,Adopted from shelter|Indian Pariah,<1 year,12991.0,>10000,Food & treats,Occasionally,No local dog owner community|Difficulty adopting/fostering,Social media,No,Dissatisfied,Community/playdates|Health/vaccination tracker,Sometimes,Amazon/Flipkart,Yes when using app,Monthly sub,Maybe someday,Very Important,Passive,Not Important,Don't track,Once a year or less,Yes
R1255,35-44,Metro,Rented,1 dog,Indian Pariah|Rescued stray,1-3 years,,nan,Food & treats,Rarely,Losing track of vaccinations|No local dog owner community|Travel challenges with dog,Word of mouth,No,Dissatisfied,Health/vaccination tracker|Nearby vet directory|Pet-friendly places,Sometimes,Heads Up For Tails/Supertails,Yes when using app,Would not pay,Yes actively,Very Important,Not yet but would,Somewhat Important,Don't track,Never,Yes
R1256,25-34,Metro,Gated apartment,1 dog,Purebred|Indian Pariah,<1 year,3755.0,2500-5000,Boarding/walking,Occasionally,Travel challenges with dog,Social media,No,Satisfied,Nearby vet directory|Adoption/fostering network,Rarely,Heads Up For Tails/Supertails,Unsure,Annual sub,Maybe someday,Somewhat Important,Active,Somewhat Important,Rely on memory,2-3 times a year,Yes
R1257,18-24,Tier-2,Independent house,None,Indian Pariah,<1 year,268.0,<1000,nan,Rarely,Losing track of vaccinations|Hard to find reliable vet,Social media,"Yes, managed eventually",Satisfied,Health/vaccination tracker,Rarely,Amazon/Flipkart,Unsure,Annual sub,Yes considering,Very Important,Passive,Very Important,Rely on memory,Never,Maybe
R1258,25-34,Metro,Gated apartment,None,nan,Planning to adopt,178.0,<1000,nan,Frequently,Travel challenges with dog|No local dog owner community,Social media,Not applicable,Neutral,Grooming listings|Health/vaccination tracker|Adoption/fostering network,Rarely,Local pet store,Yes when using app,Annual sub,Maybe someday,Somewhat Important,Not yet but would,Very Important,Don't track,Never,Yes
R1259,18-24,Metro,Gated apartment,2 dogs,Mixed breed,5+ years,9428.0,5000-10000,Vet & medicines,Occasionally,No local dog owner community|Hard to find reliable vet|Genuine food/accessories hard to find,Google Maps,No,,Dog trainer directory,Rarely,Instagram/social,Yes when using app,Freemium,No,Neutral,Not interested,Somewhat Important,Rely on memory,Once a year or less,Yes
R1260,35-44,Tier-3,Rented,1 dog,Purebred,1-3 years,,nan,Vet & medicines,Frequently,Lack of grooming services|No pet-friendly spaces|Hard to find boarding/walker,Word of mouth,"Yes, managed eventually",Very Dissatisfied,Adoption/fostering network|Event calendar,Sometimes,Heads Up For Tails/Supertails,Yes when using app,Free with ads,Yes considering,Somewhat Important,Not yet but would,Extremely Important,Don't track,More than 3 times,Yes
R1261,25-34,Metro,Gated apartment,1 dog,Adopted from shelter|Mixed breed,5+ years,6652.0,5000-10000,Food & treats,Rarely,Genuine food/accessories hard to find|No pet-friendly spaces|Hard to find boarding/walker,Pet app,"Yes, very difficult",Dissatisfied,Adoption/fostering network|Boarding/walking listings,Rarely,Amazon/Flipkart,No,Annual sub,Maybe someday,Somewhat Important,Passive,Extremely Important,Spreadsheet/notes app,2-3 times a year,Yes
R1262,45-59,Tier-2,Rented,1 dog,Indian Pariah,1-3 years,3050.0,2500-5000,Vet & medicines,Occasionally,Lack of grooming services|Hard to find boarding/walker,Google Maps,No,Dissatisfied,Lost-and-found alerts|Community/playdates|Pet-friendly places,Rarely,Heads Up For Tails/Supertails,Yes when using app,Freemium,Yes actively,Not Important,Not yet but would,Very Important,Rely on memory,Once a year or less,Maybe
R1263,25-34,Metro,Non-gated apartment,1 dog,Mixed breed,3-5 years,4295.0,2500-5000,Vet & medicines,Occasionally,Hard to find boarding/walker|Lack of grooming services|Difficulty adopting/fostering,Google Maps,No,Dissatisfied,Community/playdates,,Instagram/social,Yes when using app,Monthly sub,Maybe someday,Very Important,Active,Very Important,Rely on memory,2-3 times a year,Maybe
R1264,25-34,Metro,Independent house,None,nan,<1 year,,  nan  ,nan,Never,Travel challenges with dog|Losing track of vaccinations|Genuine food/accessories hard to find,Word of mouth,"Yes, managed eventually",Neutral,Grooming listings|Boarding/walking listings,Sometimes,Local pet store,Yes when using app,Freemium,Maybe someday,Not Important,Not yet but would,Somewhat Important,Rely on memory,,Maybe
R1265,Under 18,Tier-3,Other,2 dogs,Rescued stray,5+ years,,nan,Accessories,Occasionally,Cannot find dog trainer|Hard to find reliable vet,Social media,No,Very Dissatisfied,Pet-friendly places|Community/playdates,Sometimes,Amazon/Flipkart,Yes when using app,Freemium,Maybe someday,Neutral,Not yet but would,Extremely Important,Physical diary,Never,No
R1266,18-24,Metro,Gated apartment,None,nan,<1 year,257.0,<1000,nan,Rarely,No pet-friendly spaces|Lack of grooming services,Google Maps,"Yes, managed eventually",Dissatisfied,Adoption/fostering network,,Local pet store,Unsure,Monthly sub,Yes actively,Very Important,Active,Not Important,Don't track,Never,Maybe
R1267,25-34,Tier-2,Gated apartment,1 dog,Purebred|Indian Pariah,,4375.0,2500-5000,Vet & medicines,Rarely,Hard to find reliable vet|Lack of grooming services|Genuine food/accessories hard to find,Word of mouth,"Yes, managed eventually",Very Dissatisfied,Health/vaccination tracker,,Amazon/Flipkart,Yes always,Monthly sub,Yes considering,Very Important,Not yet but would,Extremely Important,,Once a year or less,Yes
R1268,25-34,Tier-2,Gated apartment,1 dog,Mixed breed,1-3 years,3089.0,2500-5000,Vet & medicines,Never,Travel challenges with dog,No reliable way,"Yes, very difficult",Neutral,Online marketplace|Health/vaccination tracker,Sometimes,Amazon/Flipkart,Unsure,Freemium,Maybe someday,Very Important,Not yet but would,Extremely Important,Physical diary,Once a year or less,Yes
R1269,35-44,Tier-2,Rented,1 dog,Rescued stray|Adopted from shelter,3-5 years,5604.0,5000-10000,Online marketplace,Rarely,Hard to find boarding/walker,Word of mouth,Not applicable,Dissatisfied,Nearby vet directory|Pet-friendly places|Health/vaccination tracker,Sometimes,Instagram/social,Yes always,Free with ads,Yes considering,Not at all,Active,Extremely Important,Rely on memory,,Maybe
R1270,25-34,Tier-2,Gated apartment,1 dog,Rescued stray,3-5 years,3221.0,2500-5000,Food & treats,Very frequently,Hard to find reliable vet|Travel challenges with dog,Google Maps,"Yes, managed eventually",Very Dissatisfied,Online marketplace|Dog trainer directory,Rarely,Local pet store,Yes when using app,Free with ads,Maybe someday,,Passive,Somewhat Important,Rely on memory,2-3 times a year,Maybe
R1271,35-44,Metro,Independent house,1 dog,Adopted from shelter|Mixed breed,5+ years,3526.0,2500-5000,Vet & medicines,Never,Losing track of vaccinations,Google Maps,"Yes, managed eventually",Dissatisfied,Community/playdates|Pet-friendly places,Rarely,Instagram/social,,Free with ads,No,,Active,Extremely Important,Rely on memory,Once a year or less,Yes
R1272,45-59,Metro,Independent house,3+ dogs,Rescued stray|Mixed breed,1-3 years,9000.0,5000-10000,Vet & medicines,Frequently,Lack of grooming services|Hard to find boarding/walker,No reliable way,"Yes, managed eventually",Dissatisfied,Online marketplace|Health/vaccination tracker|Nearby vet directory,Often,Local pet store,No,Annual sub,Maybe someday,Somewhat Important,Passive,Extremely Important,Physical diary,Once a year or less,Yes
R1273,35-44,Tier-2,Gated apartment,1 dog,Purebred|Adopted from shelter,5+ years,,nan,Food & treats,Occasionally,Hard to find reliable vet|Hard to find boarding/walker,Word of mouth,"Yes, managed eventually",Neutral,Lost-and-found alerts|Dog trainer directory|Health/vaccination tracker,Sometimes,Heads Up For Tails/Supertails,Yes always,Free with ads,Maybe someday,Somewhat Important,Not interested,,Rely on memory,Once a year or less,Yes
R1274,18-24,Tier-2,Rented,None,nan,Planning to adopt,,nan,nan,Occasionally,Genuine food/accessories hard to find|Travel challenges with dog,Google Maps,"Yes, very difficult",Neutral,Lost-and-found alerts,Often,Heads Up For Tails/Supertails,No,Monthly sub,Yes actively,Neutral,Not yet but would,Extremely Important,Spreadsheet/notes app,Never,Yes
R1275,25-34,Tier-3,Gated apartment,1 dog,Adopted from shelter|Rescued stray,5+ years,2888.0,2500-5000,Food & treats,Occasionally,Hard to find reliable vet,Google Maps,"Yes, managed eventually",Dissatisfied,Adoption/fostering network|Nearby vet directory,Often,Amazon/Flipkart,Yes when using app,Free with ads,Yes considering,Somewhat Important,Not yet but would,Extremely Important,Dedicated pet app,2-3 times a year,Maybe
R1276,18-24,tier-3,Gated apartment,2 dogs,Adopted from shelter,1-3 years,6351.0,5000-10000,Food & treats,Very frequently,Hard to find reliable vet|No pet-friendly spaces,Word of mouth,No,Neutral,Online marketplace|Dog-friendly travel guide|Adoption/fostering network,Sometimes,Amazon/Flipkart,No,Monthly sub,Maybe someday,Somewhat Important,Active,Extremely Important,Dedicated pet app,Once a year or less,Yes
R1277,25-34,Tier-3,Independent house,1 dog,Indian Pariah,3-5 years,1453.0,1000-2500,Food & treats,Frequently,Losing track of vaccinations|Hard to find reliable vet,No reliable way,No,Satisfied,Health/vaccination tracker,Rarely,Amazon/Flipkart,No,Would not pay,No,Somewhat Important,Not yet but would,Somewhat Important,Physical diary,Never,Maybe
R1278,60+,Tier-2,Gated apartment,None,nan,<1 year,78.0,<1000,nan,Very frequently,Losing track of vaccinations,Social media,"Yes, very difficult",Very Dissatisfied,Grooming listings,Sometimes,Heads Up For Tails/Supertails,Yes always,Free with ads,Yes considering,Somewhat Important,Not interested,Somewhat Important,Don't track,Never,Maybe
R1279,18-24,Metro,Rented,2 dogs,Purebred,3-5 years,9580.0,5000-10000,Food & treats,Frequently,Genuine food/accessories hard to find|Losing track of vaccinations|Travel challenges with dog,Social media,No,Very Dissatisfied,Online marketplace,Sometimes,Local pet store,Yes always,Monthly sub,Yes considering,Very Important,Passive,Very Important,Rely on memory,Once a year or less,Yes
R1280,25-34,Tier-3,Gated apartment,1 dog,Mixed breed|Indian Pariah,5+ years,4383.0,  2500-5000  ,Vet & medicines,Rarely,Genuine food/accessories hard to find|Travel challenges with dog,Pet app,"Yes, managed eventually",Very Dissatisfied,Dog trainer directory|Nearby vet directory,Often,Amazon/Flipkart,Yes always,Free with ads,Maybe someday,Not Important,Not yet but would,,Don't track,Once a year or less,Maybe
R1281,35-44,Tier-2,Other,1 dog,Indian Pariah,5+ years,4615.0,2500-5000,Food & treats,Very frequently,No local dog owner community|Hard to find boarding/walker,,Not applicable,Dissatisfied,Online marketplace,Often,Instagram/social,Yes when using app,Free with ads,No,Neutral,Passive,Not Important,Spreadsheet/notes app,2-3 times a year,Maybe
R1282,35-44,Metro,Gated apartment,None,nan,Planning to adopt,77.0,<1000,Food & treats,Very frequently,Cannot find dog trainer,Google Maps,"Yes, managed eventually",Dissatisfied,Grooming listings|Nearby vet directory,Often,Local pet store,Yes always,Free with ads,Maybe someday,,Passive,Extremely Important,Don't track,Once a year or less,Yes
R1283,25-34,Tier-3,Independent house,1 dog,Mixed breed|Purebred,5+ years,-3793.0,2500-5000,Food & treats,Never,Hard to find boarding/walker|Hard to find reliable vet|Losing track of vaccinations,Google Maps,Not applicable,Satisfied,Online marketplace,Sometimes,Amazon/Flipkart,Yes when using app,Freemium,Yes considering,Somewhat Important,Active,Very Important,Don't track,More than 3 times,Yes
R1284,Under 18,Tier-3,Rented,1 dog,Purebred|Indian Pariah,5+ years,5478.0,5000-10000,Vet & medicines,Very frequently,No pet-friendly spaces|Travel challenges with dog|Hard to find reliable vet,Social media,"Yes, managed eventually",Very Dissatisfied,Boarding/walking listings|Grooming listings|Lost-and-found alerts,,Amazon/Flipkart,Yes when using app,Freemium,Yes actively,Neutral,Passive,Very Important,Spreadsheet/notes app,More than 3 times,No
R1285,25-34,Tier-2,,1 dog,Rescued stray,3-5 years,3445.0,2500-5000,Food & treats,Frequently,Genuine food/accessories hard to find|No pet-friendly spaces|Cannot find dog trainer|Lack of gro,Google Maps,No,Dissatisfied,Online marketplace|Lost-and-found alerts,Often,Amazon/Flipkart,Yes when using app,Monthly sub,No,Not Important,Passive,Not Important,Rely on memory,More than 3 times,Yes
R1286,25-34,Metro,Non-gated apartment,1 dog,Rescued stray|Purebred,1-3 years,4712.0,2500-5000,Food & treats,Very frequently,Genuine food/accessories hard to find|Cannot find dog trainer,Google Maps,"Yes, managed eventually",Dissatisfied,Nearby vet directory|Pet-friendly places|Online marketplace,Never,Don't buy online,Unsure,Freemium,Maybe someday,Very Important,Not yet but would,Somewhat Important,Spreadsheet/notes app,Never,Yes
R1287,18-24,metro,Other,1 dog,Rescued stray|Purebred,3-5 years,4614.0,2500-5000,Accessories,Very frequently,No pet-friendly spaces|Hard to find reliable vet|Difficulty adopting/fostering,Google Maps,"Yes, managed eventually",Neutral,Event calendar|Health/vaccination tracker|Boarding/walking listings,Never,Amazon/Flipkart,No,One-time purchase,Yes considering,Somewhat Important,Not yet but would,Very Important,Don't track,,Maybe
R1288,25-34,Tier-3,Independent house,1 dog,Adopted from shelter,5+ years,4093.0,2500-5000,Vet & medicines,Frequently,No pet-friendly spaces|Losing track of vaccinations|Cannot find dog trainer,Social media,No,Dissatisfied,Boarding/walking listings|Adoption/fostering network,Often,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Neutral,Passive,Very Important,Rely on memory,Once a year or less,Maybe
R1289,18-24,Tier-3,Independent house,3+ dogs,Mixed breed,5+ years,6934.0,5000-10000,Food & treats,Frequently,Hard to find reliable vet|No local dog owner community|No pet-friendly spaces,No reliable way,No,Very Dissatisfied,Lost-and-found alerts|Nearby vet directory,Rarely,Amazon/Flipkart,Yes when using app,Annual sub,Maybe someday,Very Important,Active,Somewhat Important,Physical diary,Once a year or less,Yes
R1290,18-24,Metro,Non-gated apartment,2 dogs,Indian Pariah|Mixed breed,1-3 years,,nan,Vet & medicines,Never,Hard to find boarding/walker|Travel challenges with dog,Social media,Not applicable,Dissatisfied,Nearby vet directory,Often,Amazon/Flipkart,Yes when using app,Freemium,Maybe someday,Somewhat Important,Passive,Somewhat Important,Physical diary,2-3 times a year,Yes
R1291,25-34,Metro,Gated apartment,2 dogs,Adopted from shelter,1-3 years,,nan,Food & treats,Never,Lack of grooming services|Hard to find reliable vet,Word of mouth,No,Very Dissatisfied,Lost-and-found alerts|Adoption/fostering network|Nearby vet directory,Rarely,Local pet store,Yes when using app,One-time purchase,No,Somewhat Important,Not yet but would,Very Important,Physical diary,Never,Yes
R1292,18-24,Tier-3,Independent house,None,Mixed breed,Planning to adopt,65.0,<1000,nan,Never,Hard to find boarding/walker,,"Yes, managed eventually",Dissatisfied,Grooming listings|Adoption/fostering network|Dog trainer directory,Often,Amazon/Flipkart,Unsure,Freemium,Yes considering,Not Important,Passive,Somewhat Important,Don't track,Never,Yes
R1293,35-44,Metro,Independent house,None,Purebred,Planning to adopt,93.0,<1000,,Never,Hard to find boarding/walker|Genuine food/accessories hard to find,Social media,Not applicable,Dissatisfied,Dog-friendly travel guide,Sometimes,Amazon/Flipkart,Yes always,Freemium,No,Somewhat Important,Not interested,Very Important,Don't track,Never,Yes
R1294,35-44,Tier-2,Independent house,1 dog,Adopted from shelter,5+ years,3390.0,2500-5000,Food & treats,Occasionally,Genuine food/accessories hard to find|Hard to find boarding/walker,Word of mouth,No,Satisfied,Community/playdates,Sometimes,Don't buy online,Yes when using app,Freemium,No,Somewhat Important,Passive,Very Important,Physical diary,Once a year or less,Yes
R1295,45-59,Rural,Rented,1 dog,Indian Pariah|Mixed breed,5+ years,3505.0,2500-5000,Food & treats,Frequently,Hard to find reliable vet|Cannot find dog trainer|Losing track of vaccinations,No reliable way,"Yes, managed eventually",Neutral,Dog-friendly travel guide|Lost-and-found alerts|Online marketplace,Often,Local pet store,Yes always,Free with ads,Yes actively,Neutral,Not yet but would,Extremely Important,Physical diary,2-3 times a year,
R1296,18-24,Metro,Independent house,3+ dogs,Adopted from shelter|Mixed breed,3-5 years,7732.0,5000-10000,Food & treats,Occasionally,Hard to find boarding/walker,Word of mouth,Not applicable,,Grooming listings,Often,Amazon/Flipkart,Yes always,Free with ads,Yes actively,Somewhat Important,Passive,Very Important,Spreadsheet/notes app,Never,Maybe
R1297,18-24,Tier-2,Gated apartment,1 dog,Rescued stray|Purebred,5+ years,1288.0,1000-2500,Accessories,Frequently,Hard to find reliable vet,Google Maps,Not applicable,Neutral,Nearby vet directory|Dog trainer directory,Never,Local pet store,Yes always,Freemium,Maybe someday,,Active,Extremely Important,Spreadsheet/notes app,More than 3 times,Maybe
R1298,18-24,Metro,,1 dog,Mixed breed|Indian Pariah,3-5 years,6297.0,5000-10000,Food & treats,Frequently,Lack of grooming services|Hard to find boarding/walker,No reliable way,"Yes, very difficult",Very Dissatisfied,Pet-friendly places|Nearby vet directory|Dog-friendly travel guide,Sometimes,Amazon/Flipkart,Yes always,Freemium,Yes actively,Not at all,Passive,Very Important,,Once a year or less,Yes
R1299,35-44,Metro,Gated apartment,1 dog,Mixed breed|Purebred,3-5 years,2991.0,2500-5000,Food & treats,Frequently,Losing track of vaccinations|Hard to find reliable vet|Hard to find boarding/walker|No pet-frien,Social media,"Yes, very difficult",Very Dissatisfied,Grooming listings|Nearby vet directory|Event calendar,Often,Don't buy online,Yes when using app,Freemium,Maybe someday,Neutral,Not interested,Extremely Important,Rely on memory,2-3 times a year,Yes
R1300,35-44,Tier-3,Independent house,1 dog,Adopted from shelter|Indian Pariah,1-3 years,1994.0,1000-2500,Vet & medicines,Occasionally,No pet-friendly spaces,Social media,"Yes, very difficult",Satisfied,Adoption/fostering network|Online marketplace,Rarely,Amazon/Flipkart,Yes always,Free with ads,Maybe someday,Neutral,Active,Very Important,Don't track,2-3 times a year,Maybe
R1301,18-24,Metro,Rented,1 dog,Adopted from shelter|Purebred,3-5 years,6081.0,5000-10000,Vet & medicines,Rarely,Hard to find reliable vet|Hard to find boarding/walker|Travel challenges with dog,No reliable way,No,Neutral,Health/vaccination tracker,Rarely,Amazon/Flipkart,Yes always,Freemium,Maybe someday,Neutral,Not yet but would,Somewhat Important,Spreadsheet/notes app,More than 3 times,Yes
R1302,60+,Rural,Independent house,1 dog,Rescued stray|Mixed breed,5+ years,3188.0,2500-5000,Food & treats,Never,Hard to find boarding/walker,Social media,No,,Health/vaccination tracker|Event calendar,Sometimes,Local pet store,Yes when using app,Free with ads,No,Very Important,,Extremely Important,Spreadsheet/notes app,Once a year or less,Maybe
R1303,18-24,Tier-2,Non-gated apartment,1 dog,Purebred|Rescued stray,1-3 years,4130.0,2500-5000,Food & treats,Occasionally,Losing track of vaccinations,No reliable way,No,Neutral,Pet-friendly places|Event calendar|Dog-friendly travel guide,Sometimes,Amazon/Flipkart,Yes when using app,Freemium,No,Neutral,Active,Very Important,Don't track,Once a year or less,Yes
R1304,25-34,Metro,Rented,2 dogs,Mixed breed,3-5 years,7596.0,5000-10000,Food & treats,Frequently,Hard to find boarding/walker|Lack of grooming services|No pet-friendly spaces,Social media,No,Very Satisfied,Boarding/walking listings|Grooming listings|Adoption/fostering network,Rarely,Heads Up For Tails/Supertails,No,Free with ads,Yes considering,Somewhat Important,Not interested,Extremely Important,Dedicated pet app,Once a year or less,Maybe
R1305,35-44,Metro,Gated apartment,None,Adopted from shelter,Planning to adopt,337.0,<1000,nan,Occasionally,Hard to find boarding/walker,Social media,"Yes, managed eventually",Dissatisfied,Online marketplace,Rarely,Brand website,Yes when using app,Would not pay,Yes considering,,Not interested,Very Important,Rely on memory,Never,Maybe
R1306,45-59,Metro,Gated apartment,3+ dogs,Rescued stray,1-3 years,8193.0,5000-10000,Food & treats,Frequently,Genuine food/accessories hard to find|Losing track of vaccinations,Social media,"Yes, very difficult",Dissatisfied,Nearby vet directory,,Amazon/Flipkart,Yes when using app,Freemium,Maybe someday,Neutral,Active,Very Important,Rely on memory,2-3 times a year,Maybe
R1307,35-44,Metro,Gated apartment,2 dogs,Mixed breed,,4211.0,2500-5000,Food & treats,Rarely,No local dog owner community|Losing track of vaccinations|Hard to find boarding/walker,Word of mouth,Not applicable,Dissatisfied,Nearby vet directory,Sometimes,Heads Up For Tails/Supertails,Yes when using app,Annual sub,Yes considering,Neutral,Passive,Extremely Important,Rely on memory,Once a year or less,Yes
R1308,45-59,Metro,Gated apartment,1 dog,Rescued stray,1-3 years,,nan,Grooming,Never,Hard to find reliable vet,Social media,Not applicable,Very Dissatisfied,Nearby vet directory|Boarding/walking listings,,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,,Not yet but would,Extremely Important,Rely on memory,2-3 times a year,Maybe
